Genre,imdbID,Language,Title,Released
Crime,tt0242527,en,The Hole,2001-04-20
Drama,tt0242527,en,The Hole,2001-04-20
Horror,tt0242527,en,The Hole,2001-04-20
Thriller,tt0242527,en,The Hole,2001-04-20
Drama,tt0102494,en,My Own Private Idaho,1991-02-01
Comedy,tt0088184,en,Stranger Than Paradise,1984-10-01
Drama,tt0088184,en,Stranger Than Paradise,1984-10-01
Drama,tt0315733,en,21 Grams,2003-09-06
Crime,tt0315733,en,21 Grams,2003-09-06
Thriller,tt0315733,en,21 Grams,2003-09-06
Drama,tt0129774,en,Bandyta,1997-11-07
Mystery,tt0138704,en,Pi,1998-07-10
Drama,tt0138704,en,Pi,1998-07-10
Thriller,tt0138704,en,Pi,1998-07-10
Crime,tt0061418,en,Bonnie and Clyde,1967-07-18
Drama,tt0061418,en,Bonnie and Clyde,1967-07-18
Drama,tt0097240,en,Drugstore Cowboy,1989-10-20
Crime,tt0097240,en,Drugstore Cowboy,1989-10-20
Action,tt0162650,en,Shaft,2000-06-15
Adventure,tt0162650,en,Shaft,2000-06-15
Crime,tt0162650,en,Shaft,2000-06-15
Thriller,tt0162650,en,Shaft,2000-06-15
Comedy,tt0265343,hi,Monsoon Wedding,2001-08-30
Drama,tt0265343,hi,Monsoon Wedding,2001-08-30
Romance,tt0265343,hi,Monsoon Wedding,2001-08-30
Drama,tt0461894,es,7 vírgenes,2005-10-14
Action,tt0067741,en,Shaft,1971-06-25
Crime,tt0067741,en,Shaft,1971-06-25
Thriller,tt0067741,en,Shaft,1971-06-25
Crime,tt0100935,en,Wild at Heart,1990-08-17
Thriller,tt0100935,en,Wild at Heart,1990-08-17
Romance,tt0100935,en,Wild at Heart,1990-08-17
Adventure,tt0043265,en,The African Queen,1952-01-07
Romance,tt0043265,en,The African Queen,1952-01-07
Drama,tt0119217,en,Good Will Hunting,1997-12-05
Fantasy,tt0050976,sv,Det sjunde inseglet,1957-02-16
Drama,tt0050976,sv,Det sjunde inseglet,1957-02-16
Drama,tt0301343,de,Ghettokids - Brüder ohne Heimat,2002-07-04
Comedy,tt0120601,en,Being John Malkovich,1999-10-29
Drama,tt0120601,en,Being John Malkovich,1999-10-29
Fantasy,tt0120601,en,Being John Malkovich,1999-10-29
Action,tt0069257,en,Shaft's Big Score!,1972-06-08
Adventure,tt0069257,en,Shaft's Big Score!,1972-06-08
Crime,tt0069257,en,Shaft's Big Score!,1972-06-08
Mystery,tt0069257,en,Shaft's Big Score!,1972-06-08
Adventure,tt0070679,en,Shaft in Africa,1973-06-14
Action,tt0070679,en,Shaft in Africa,1973-06-14
Thriller,tt0070679,en,Shaft in Africa,1973-06-14
Crime,tt0070679,en,Shaft in Africa,1973-06-14
Mystery,tt0070679,en,Shaft in Africa,1973-06-14
Comedy,tt0443453,en,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01
Fantasy,tt0120689,en,The Green Mile,1999-12-10
Drama,tt0120689,en,The Green Mile,1999-12-10
Crime,tt0120689,en,The Green Mile,1999-12-10
Drama,tt0055852,fr,Cléo de 5 à 7,1962-04-11
Crime,tt0105236,en,Reservoir Dogs,1992-09-02
Thriller,tt0105236,en,Reservoir Dogs,1992-09-02
Documentary,tt0427312,en,Grizzly Man,2005-08-12
Drama,tt0058083,en,Fail Safe,1964-10-07
Thriller,tt0058083,en,Fail Safe,1964-10-07
War,tt0058083,en,Fail Safe,1964-10-07
Adventure,tt0409182,en,Poseidon,2006-05-10
Action,tt0409182,en,Poseidon,2006-05-10
Drama,tt0409182,en,Poseidon,2006-05-10
Thriller,tt0409182,en,Poseidon,2006-05-10
Crime,tt0340855,en,Monster,2003-12-24
Drama,tt0340855,en,Monster,2003-12-24
Crime,tt0097626,en,Johnny Handsome,1989-09-12
Drama,tt0097626,en,Johnny Handsome,1989-09-12
Crime,tt0058329,en,Marnie,1964-07-17
Drama,tt0058329,en,Marnie,1964-07-17
Mystery,tt0058329,en,Marnie,1964-07-17
Romance,tt0058329,en,Marnie,1964-07-17
Thriller,tt0058329,en,Marnie,1964-07-17
Action,tt0110265,en,Killing Zoe,1993-10-01
Crime,tt0110265,en,Killing Zoe,1993-10-01
Drama,tt0110265,en,Killing Zoe,1993-10-01
Thriller,tt0110265,en,Killing Zoe,1993-10-01
Comedy,tt0314331,en,Love Actually,2003-09-07
Romance,tt0314331,en,Love Actually,2003-09-07
Drama,tt0314331,en,Love Actually,2003-09-07
Romance,tt0125439,en,Notting Hill,1999-05-21
Comedy,tt0125439,en,Notting Hill,1999-05-21
Drama,tt0073486,en,One Flew Over the Cuckoo's Nest,1975-11-19
Drama,tt0072446,pl,Ziemia obiecana,1975-02-21
Comedy,tt0457513,en,Scoop,2006-07-27
Mystery,tt0457513,en,Scoop,2006-07-27
Drama,tt0116308,en,Fire,1997-08-22
Romance,tt0116308,en,Fire,1997-08-22
Crime,tt0046912,en,Dial M for Murder,1954-05-29
Thriller,tt0046912,en,Dial M for Murder,1954-05-29
Comedy,tt0109707,en,Ed Wood,1994-09-27
Drama,tt0109707,en,Ed Wood,1994-09-27
History,tt0109707,en,Ed Wood,1994-09-27
Drama,tt0454931,de,Requiem,2006-03-02
Horror,tt0454931,de,Requiem,2006-03-02
Crime,tt0112641,en,Casino,1995-11-22
Drama,tt0112641,en,Casino,1995-11-22
History,tt0112641,en,Casino,1995-11-22
Music,tt0080455,en,The Blues Brothers,1980-06-16
Comedy,tt0080455,en,The Blues Brothers,1980-06-16
Action,tt0080455,en,The Blues Brothers,1980-06-16
Crime,tt0080455,en,The Blues Brothers,1980-06-16
Adventure,tt0089457,en,Ladyhawke,1985-03-27
Comedy,tt0089457,en,Ladyhawke,1985-03-27
Fantasy,tt0089457,en,Ladyhawke,1985-03-27
Drama,tt0110729,en,Once Were Warriors,1994-09-02
Animation,tt0104361,en,A Grand Day Out,1990-05-18
Comedy,tt0104361,en,A Grand Day Out,1990-05-18
Family,tt0104361,en,A Grand Day Out,1990-05-18
Animation,tt0108598,en,The Wrong Trousers,1993-12-17
Comedy,tt0108598,en,The Wrong Trousers,1993-12-17
Family,tt0108598,en,The Wrong Trousers,1993-12-17
Family,tt0112691,en,A Close Shave,1995-04-10
Animation,tt0112691,en,A Close Shave,1995-04-10
Comedy,tt0112691,en,A Close Shave,1995-04-10
Adventure,tt0312004,en,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04
Animation,tt0312004,en,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04
Comedy,tt0312004,en,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04
Family,tt0312004,en,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-04
Action,tt0438488,en,Terminator Salvation,2009-05-20
Science Fiction,tt0438488,en,Terminator Salvation,2009-05-20
Thriller,tt0438488,en,Terminator Salvation,2009-05-20
Drama,tt0085549,en,Flashdance,1983-04-14
Romance,tt0085549,en,Flashdance,1983-04-14
Documentary,tt0958195,en,Stuttgart Shanghai,2007-03-01
Romance,tt0436445,fr,Je ne suis pas là pour être aimé,2005-10-12
Drama,tt0436445,fr,Je ne suis pas là pour être aimé,2005-10-12
Horror,tt0054215,en,Psycho,1960-06-22
Drama,tt0054215,en,Psycho,1960-06-22
Thriller,tt0054215,en,Psycho,1960-06-22
Action,tt0367631,en,D.E.B.S.,2004-01-21
Comedy,tt0367631,en,D.E.B.S.,2004-01-21
Romance,tt0367631,en,D.E.B.S.,2004-01-21
Drama,tt0048347,en,The Man with the Golden Arm,1955-12-26
Drama,tt0313196,es,El Crimen del Padre Amaro,2002-10-01
Romance,tt0313196,es,El Crimen del Padre Amaro,2002-10-01
Drama,tt0019702,en,Blackmail,1929-07-28
Thriller,tt0019702,en,Blackmail,1929-07-28
Romance,tt0129387,en,There's Something About Mary,1998-07-15
Comedy,tt0129387,en,There's Something About Mary,1998-07-15
Drama,tt0407265,en,Transamerica,2005-12-23
Adventure,tt0119314,en,The Horse Whisperer,1998-02-01
Drama,tt0119314,en,The Horse Whisperer,1998-02-01
Romance,tt0119314,en,The Horse Whisperer,1998-02-01
Crime,tt0042876,ja,羅生門,1950-08-26
Drama,tt0042876,ja,羅生門,1950-08-26
Mystery,tt0042876,ja,羅生門,1950-08-26
Drama,tt0115632,en,Basquiat,1996-08-09
History,tt0115632,en,Basquiat,1996-08-09
Drama,tt0137523,en,Fight Club,1999-10-15
Thriller,tt0137523,en,Fight Club,1999-10-15
Comedy,tt0137523,en,Fight Club,1999-10-15
Action,tt0069113,en,The Poseidon Adventure,1972-12-13
Adventure,tt0069113,en,The Poseidon Adventure,1972-12-13
Thriller,tt0069113,en,The Poseidon Adventure,1972-12-13
Comedy,tt0237539,it,Pane e tulipani,2000-03-03
Romance,tt0237539,it,Pane e tulipani,2000-03-03
Crime,tt0276919,en,Dogville,2003-05-19
Drama,tt0276919,en,Dogville,2003-05-19
Thriller,tt0276919,en,Dogville,2003-05-19
Drama,tt0308476,ru,Кукушка,2002-01-01
History,tt0308476,ru,Кукушка,2002-01-01
Romance,tt0308476,ru,Кукушка,2002-01-01
Comedy,tt0308476,ru,Кукушка,2002-01-01
Thriller,tt0442896,en,Absolut,2005-04-20
Fantasy,tt0145487,en,Spider-Man,2002-05-01
Action,tt0145487,en,Spider-Man,2002-05-01
Action,tt0316654,en,Spider-Man 2,2004-06-25
Adventure,tt0316654,en,Spider-Man 2,2004-06-25
Fantasy,tt0316654,en,Spider-Man 2,2004-06-25
Fantasy,tt0413300,en,Spider-Man 3,2007-05-01
Action,tt0413300,en,Spider-Man 3,2007-05-01
Adventure,tt0413300,en,Spider-Man 3,2007-05-01
Crime,tt0040766,en,Secret Beyond the Door,1947-12-24
Mystery,tt0040766,en,Secret Beyond the Door,1947-12-24
Thriller,tt0040766,en,Secret Beyond the Door,1947-12-24
Romance,tt0040766,en,Secret Beyond the Door,1947-12-24
Fantasy,tt0360486,en,Constantine,2005-02-08
Action,tt0360486,en,Constantine,2005-02-08
Horror,tt0360486,en,Constantine,2005-02-08
Action,tt0095016,en,Die Hard,1988-07-15
Thriller,tt0095016,en,Die Hard,1988-07-15
Adventure,tt0120201,en,Starship Troopers,1997-11-07
Action,tt0120201,en,Starship Troopers,1997-11-07
Thriller,tt0120201,en,Starship Troopers,1997-11-07
Science Fiction,tt0120201,en,Starship Troopers,1997-11-07
Adventure,tt0120616,en,The Mummy,1999-04-16
Action,tt0120616,en,The Mummy,1999-04-16
Fantasy,tt0120616,en,The Mummy,1999-04-16
Horror,tt0298130,en,The Ring,2002-10-18
Mystery,tt0298130,en,The Ring,2002-10-18
Thriller,tt0047396,en,Rear Window,1954-08-01
Mystery,tt0047396,en,Rear Window,1954-08-01
History,tt0112384,en,Apollo 13,1995-06-30
Drama,tt0112384,en,Apollo 13,1995-06-30
Adventure,tt0112384,en,Apollo 13,1995-06-30
Drama,tt0243255,fr,À ma soeur!,2001-03-07
Horror,tt0056869,en,The Birds,1963-03-28
Horror,tt0453383,no,Naboer,2005-03-11
Mystery,tt0453383,no,Naboer,2005-03-11
Thriller,tt0453383,no,Naboer,2005-03-11
Crime,tt0068611,en,Frenzy,1972-05-25
Thriller,tt0068611,en,Frenzy,1972-05-25
Horror,tt0068611,en,Frenzy,1972-05-25
Mystery,tt0049470,en,The Man Who Knew Too Much,1956-05-16
Thriller,tt0049470,en,The Man Who Knew Too Much,1956-05-16
Drama,tt0250258,de,Das Experiment,2001-03-07
Thriller,tt0250258,de,Das Experiment,2001-03-07
Western,tt0065214,en,The Wild Bunch,1969-06-17
Drama,tt0114681,en,To Die For,1995-09-22
Comedy,tt0114681,en,To Die For,1995-09-22
Crime,tt0114681,en,To Die For,1995-09-22
Horror,tt0073195,en,Jaws,1975-06-20
Thriller,tt0073195,en,Jaws,1975-06-20
Adventure,tt0073195,en,Jaws,1975-06-20
Horror,tt0077766,en,Jaws 2,1978-06-16
Thriller,tt0077766,en,Jaws 2,1978-06-16
Adventure,tt0093300,en,Jaws: The Revenge,1987-07-17
Thriller,tt0093300,en,Jaws: The Revenge,1987-07-17
Horror,tt0093300,en,Jaws: The Revenge,1987-07-17
Adventure,tt0099348,en,Dances with Wolves,1990-03-30
Drama,tt0099348,en,Dances with Wolves,1990-03-30
Western,tt0099348,en,Dances with Wolves,1990-03-30
Drama,tt0405094,de,Das Leben der Anderen,2006-03-15
Thriller,tt0405094,de,Das Leben der Anderen,2006-03-15
Comedy,tt0079470,en,Life of Brian,1979-08-17
Action,tt0322259,en,2 Fast 2 Furious,2003-06-05
Crime,tt0322259,en,2 Fast 2 Furious,2003-06-05
Thriller,tt0322259,en,2 Fast 2 Furious,2003-06-05
Animation,tt0198781,en,"Monsters, Inc.",2001-11-01
Comedy,tt0198781,en,"Monsters, Inc.",2001-11-01
Family,tt0198781,en,"Monsters, Inc.",2001-11-01
Comedy,tt0120885,en,Wag the Dog,1997-12-25
Drama,tt0120885,en,Wag the Dog,1997-12-25
Adventure,tt0319061,en,Big Fish,2003-12-25
Fantasy,tt0319061,en,Big Fish,2003-12-25
Drama,tt0319061,en,Big Fish,2003-12-25
Horror,tt0384537,en,Silent Hill,2006-04-21
Mystery,tt0384537,en,Silent Hill,2006-04-21
Drama,tt0274558,en,The Hours,2002-12-27
Thriller,tt0382625,en,The Da Vinci Code,2006-05-17
Mystery,tt0382625,en,The Da Vinci Code,2006-05-17
Crime,tt0071360,en,The Conversation,1974-04-07
Drama,tt0071360,en,The Conversation,1974-04-07
Mystery,tt0071360,en,The Conversation,1974-04-07
Drama,tt0069293,ru,Солярис,1972-03-20
Science Fiction,tt0069293,ru,Солярис,1972-03-20
Mystery,tt0069293,ru,Солярис,1972-03-20
Comedy,tt0362227,en,The Terminal,2004-06-17
Drama,tt0362227,en,The Terminal,2004-06-17
Drama,tt0056592,en,To Kill a Mockingbird,1962-12-20
Crime,tt0056592,en,To Kill a Mockingbird,1962-12-20
Drama,tt0032551,en,The Grapes of Wrath,1940-03-15
Drama,tt0120338,en,Titanic,1997-11-18
Romance,tt0120338,en,Titanic,1997-11-18
Drama,tt0317248,pt,Cidade de Deus,2002-08-30
Crime,tt0317248,pt,Cidade de Deus,2002-08-30
Drama,tt0043014,en,Sunset Boulevard,1950-08-10
Drama,tt0093058,en,Full Metal Jacket,1987-06-26
War,tt0093058,en,Full Metal Jacket,1987-06-26
Science Fiction,tt0083866,en,E.T. the Extra-Terrestrial,1982-06-11
Adventure,tt0083866,en,E.T. the Extra-Terrestrial,1982-06-11
Family,tt0083866,en,E.T. the Extra-Terrestrial,1982-06-11
Fantasy,tt0083866,en,E.T. the Extra-Terrestrial,1982-06-11
Action,tt0116629,en,Independence Day,1996-06-25
Adventure,tt0116629,en,Independence Day,1996-06-25
Science Fiction,tt0116629,en,Independence Day,1996-06-25
Action,tt0133093,en,The Matrix,1999-03-30
Science Fiction,tt0133093,en,The Matrix,1999-03-30
Adventure,tt0234215,en,The Matrix Reloaded,2003-05-15
Action,tt0234215,en,The Matrix Reloaded,2003-05-15
Thriller,tt0234215,en,The Matrix Reloaded,2003-05-15
Science Fiction,tt0234215,en,The Matrix Reloaded,2003-05-15
Adventure,tt0242653,en,The Matrix Revolutions,2003-11-05
Action,tt0242653,en,The Matrix Revolutions,2003-11-05
Thriller,tt0242653,en,The Matrix Revolutions,2003-11-05
Science Fiction,tt0242653,en,The Matrix Revolutions,2003-11-05
History,tt0089755,en,Out of Africa,1985-12-20
Romance,tt0089755,en,Out of Africa,1985-12-20
Drama,tt0089755,en,Out of Africa,1985-12-20
Action,tt0119654,en,Men in Black,1997-07-02
Adventure,tt0119654,en,Men in Black,1997-07-02
Comedy,tt0119654,en,Men in Black,1997-07-02
Science Fiction,tt0119654,en,Men in Black,1997-07-02
Action,tt0120912,en,Men in Black II,2002-07-03
Adventure,tt0120912,en,Men in Black II,2002-07-03
Comedy,tt0120912,en,Men in Black II,2002-07-03
Science Fiction,tt0120912,en,Men in Black II,2002-07-03
Horror,tt0084516,en,Poltergeist,1982-06-04
Drama,tt0408306,en,Munich,2005-12-23
Action,tt0408306,en,Munich,2005-12-23
History,tt0408306,en,Munich,2005-12-23
Thriller,tt0408306,en,Munich,2005-12-23
Drama,tt0363163,de,Der Untergang,2004-09-16
History,tt0363163,de,Der Untergang,2004-09-16
War,tt0363163,de,Der Untergang,2004-09-16
Drama,tt0050986,sv,Smultronstället,1957-12-26
Drama,tt0335345,en,The Passion of the Christ,2004-02-25
Drama,tt0325710,en,The Last Samurai,2003-12-05
Action,tt0325710,en,The Last Samurai,2003-12-05
War,tt0325710,en,The Last Samurai,2003-12-05
Mystery,tt0120890,en,Wild Things,1998-03-20
Thriller,tt0120890,en,Wild Things,1998-03-20
Drama,tt0120890,en,Wild Things,1998-03-20
Drama,tt0004972,en,The Birth of a Nation,1915-02-08
History,tt0004972,en,The Birth of a Nation,1915-02-08
War,tt0004972,en,The Birth of a Nation,1915-02-08
Thriller,tt0103855,en,The Bodyguard,1992-11-25
Action,tt0103855,en,The Bodyguard,1992-11-25
Drama,tt0103855,en,The Bodyguard,1992-11-25
Music,tt0103855,en,The Bodyguard,1992-11-25
Romance,tt0103855,en,The Bodyguard,1992-11-25
Comedy,tt0087332,en,Ghostbusters,1984-06-08
Fantasy,tt0087332,en,Ghostbusters,1984-06-08
Romance,tt0077631,en,Grease,1978-07-07
Comedy,tt0077631,en,Grease,1978-07-07
Mystery,tt0142688,en,The Ninth Gate,1999-08-25
Thriller,tt0142688,en,The Ninth Gate,1999-08-25
Horror,tt0142688,en,The Ninth Gate,1999-08-25
Comedy,tt0095159,en,A Fish Called Wanda,1988-07-15
Crime,tt0095159,en,A Fish Called Wanda,1988-07-15
Adventure,tt0064276,en,Easy Rider,1969-06-26
Drama,tt0064276,en,Easy Rider,1969-06-26
Drama,tt0087553,en,The Killing Fields,1984-11-23
History,tt0087553,en,The Killing Fields,1984-11-23
War,tt0087553,en,The Killing Fields,1984-11-23
Fantasy,tt0020530,fr,Un chien andalou,1929-06-05
Drama,tt0117951,en,Trainspotting,1996-02-23
Crime,tt0117951,en,Trainspotting,1996-02-23
Horror,tt0110148,en,Interview with the Vampire,1994-11-11
Drama,tt0110148,en,Interview with the Vampire,1994-11-11
Fantasy,tt0110148,en,Interview with the Vampire,1994-11-11
Drama,tt0114814,en,The Usual Suspects,1995-07-19
Crime,tt0114814,en,The Usual Suspects,1995-07-19
Thriller,tt0114814,en,The Usual Suspects,1995-07-19
Adventure,tt0032138,en,The Wizard of Oz,1939-08-15
Fantasy,tt0032138,en,The Wizard of Oz,1939-08-15
Family,tt0032138,en,The Wizard of Oz,1939-08-15
Drama,tt0018455,en,Sunrise: A Song of Two Humans,1927-11-04
Romance,tt0018455,en,Sunrise: A Song of Two Humans,1927-11-04
Comedy,tt0046359,en,Stalag 17,1953-05-29
Thriller,tt0046359,en,Stalag 17,1953-05-29
War,tt0046359,en,Stalag 17,1953-05-29
Drama,tt0076734,nl,Soldaat van Oranje,1977-09-22
Thriller,tt0076734,nl,Soldaat van Oranje,1977-09-22
War,tt0076734,nl,Soldaat van Oranje,1977-09-22
Comedy,tt0243155,en,Bridget Jones's Diary,2001-04-13
Romance,tt0243155,en,Bridget Jones's Diary,2001-04-13
Drama,tt0243155,en,Bridget Jones's Diary,2001-04-13
Horror,tt0092563,en,Angel Heart,1987-03-06
Mystery,tt0092563,en,Angel Heart,1987-03-06
Science Fiction,tt0066434,en,THX 1138,1971-03-11
Action,tt0066434,en,THX 1138,1971-03-11
Drama,tt0066434,en,THX 1138,1971-03-11
Comedy,tt0118799,it,La vita è bella,1997-12-20
Drama,tt0118799,it,La vita è bella,1997-12-20
Drama,tt0116922,en,Lost Highway,1997-01-15
Thriller,tt0116922,en,Lost Highway,1997-01-15
Mystery,tt0116922,en,Lost Highway,1997-01-15
Comedy,tt0098635,en,When Harry Met Sally...,1989-07-21
Romance,tt0098635,en,When Harry Met Sally...,1989-07-21
Drama,tt0098635,en,When Harry Met Sally...,1989-07-21
Drama,tt0264464,en,Catch Me If You Can,2002-12-16
Crime,tt0264464,en,Catch Me If You Can,2002-12-16
Crime,tt0180093,en,Requiem for a Dream,2000-10-06
Drama,tt0180093,en,Requiem for a Dream,2000-10-06
Western,tt0064115,en,Butch Cassidy and the Sundance Kid,1969-01-15
Drama,tt0064115,en,Butch Cassidy and the Sundance Kid,1969-01-15
Crime,tt0064115,en,Butch Cassidy and the Sundance Kid,1969-01-15
Drama,tt0015648,ru,Броненосец Потёмкин,1925-12-24
History,tt0015648,ru,Броненосец Потёмкин,1925-12-24
Drama,tt0212720,en,A.I. Artificial Intelligence,2001-06-29
Science Fiction,tt0212720,en,A.I. Artificial Intelligence,2001-06-29
Adventure,tt0212720,en,A.I. Artificial Intelligence,2001-06-29
Adventure,tt0055928,en,Dr. No,1962-10-07
Action,tt0055928,en,Dr. No,1962-10-07
Thriller,tt0055928,en,Dr. No,1962-10-07
Animation,tt0385700,ja,Final Fantasy VII: Advent Children,2005-07-14
Action,tt0385700,ja,Final Fantasy VII: Advent Children,2005-07-14
Adventure,tt0385700,ja,Final Fantasy VII: Advent Children,2005-07-14
Fantasy,tt0385700,ja,Final Fantasy VII: Advent Children,2005-07-14
Science Fiction,tt0385700,ja,Final Fantasy VII: Advent Children,2005-07-14
Drama,tt0038348,fr,La Belle et la Bête,1946-10-29
Fantasy,tt0038348,fr,La Belle et la Bête,1946-10-29
Romance,tt0038348,fr,La Belle et la Bête,1946-10-29
Drama,tt0061395,fr,Belle de jour,1967-05-24
Romance,tt0061395,fr,Belle de jour,1967-05-24
Crime,tt0101507,en,Boyz n the Hood,1991-07-12
Drama,tt0101507,en,Boyz n the Hood,1991-07-12
Comedy,tt0066026,en,M*A*S*H,1970-02-18
Drama,tt0066026,en,M*A*S*H,1970-02-18
War,tt0066026,en,M*A*S*H,1970-02-18
Adventure,tt0332452,en,Troy,2004-05-03
History,tt0332452,en,Troy,2004-05-03
War,tt0332452,en,Troy,2004-05-03
Action,tt0332452,en,Troy,2004-05-03
Fantasy,tt0013442,de,"Nosferatu, eine Symphonie des Grauens",1922-02-16
Horror,tt0013442,de,"Nosferatu, eine Symphonie des Grauens",1922-02-16
Crime,tt0047296,en,On the Waterfront,1954-06-22
Drama,tt0047296,en,On the Waterfront,1954-06-22
Drama,tt0087884,en,"Paris, Texas",1984-08-23
Action,tt0057076,en,From Russia with Love,1963-10-10
Thriller,tt0057076,en,From Russia with Love,1963-10-10
Adventure,tt0057076,en,From Russia with Love,1963-10-10
Adventure,tt0058150,en,Goldfinger,1964-09-20
Action,tt0058150,en,Goldfinger,1964-09-20
Thriller,tt0058150,en,Goldfinger,1964-09-20
Drama,tt0078875,de,Die Blechtrommel,1979-05-02
History,tt0078875,de,Die Blechtrommel,1979-05-02
War,tt0078875,de,Die Blechtrommel,1979-05-02
Adventure,tt0059800,en,Thunderball,1965-12-11
Action,tt0059800,en,Thunderball,1965-12-11
Thriller,tt0059800,en,Thunderball,1965-12-11
Drama,tt0079095,de,Die Ehe der Maria Braun,1979-03-23
Romance,tt0056119,fr,La Jetée,1962-02-16
Science Fiction,tt0056119,fr,La Jetée,1962-02-16
Horror,tt0890870,en,Saw IV,2007-10-24
Thriller,tt0890870,en,Saw IV,2007-10-24
Crime,tt0890870,en,Saw IV,2007-10-24
Action,tt0117998,en,Twister,1996-05-10
Adventure,tt0117998,en,Twister,1996-05-10
Drama,tt0117998,en,Twister,1996-05-10
Action,tt0052618,en,Ben-Hur,1959-11-18
Drama,tt0052618,en,Ben-Hur,1959-11-18
History,tt0052618,en,Ben-Hur,1959-11-18
Drama,tt0140888,pt,Central do Brasil,1998-11-20
Action,tt0062512,en,You Only Live Twice,1967-06-13
Thriller,tt0062512,en,You Only Live Twice,1967-06-13
Adventure,tt0062512,en,You Only Live Twice,1967-06-13
Adventure,tt0064757,en,On Her Majesty's Secret Service,1969-12-18
Action,tt0064757,en,On Her Majesty's Secret Service,1969-12-18
Thriller,tt0064757,en,On Her Majesty's Secret Service,1969-12-18
Documentary,tt0013427,en,Nanook of the North,1922-06-11
Drama,tt0364569,ko,올드보이,2003-11-21
Thriller,tt0364569,ko,올드보이,2003-11-21
Mystery,tt0364569,ko,올드보이,2003-11-21
Action,tt0364569,ko,올드보이,2003-11-21
Adventure,tt0241527,en,Harry Potter and the Philosopher's Stone,2001-11-16
Fantasy,tt0241527,en,Harry Potter and the Philosopher's Stone,2001-11-16
Adventure,tt0295297,en,Harry Potter and the Chamber of Secrets,2002-11-13
Fantasy,tt0295297,en,Harry Potter and the Chamber of Secrets,2002-11-13
Adventure,tt0304141,en,Harry Potter and the Prisoner of Azkaban,2004-05-31
Fantasy,tt0304141,en,Harry Potter and the Prisoner of Azkaban,2004-05-31
Adventure,tt0330373,en,Harry Potter and the Goblet of Fire,2005-11-16
Fantasy,tt0330373,en,Harry Potter and the Goblet of Fire,2005-11-16
Family,tt0330373,en,Harry Potter and the Goblet of Fire,2005-11-16
Adventure,tt0373889,en,Harry Potter and the Order of the Phoenix,2007-06-28
Fantasy,tt0373889,en,Harry Potter and the Order of the Phoenix,2007-06-28
Mystery,tt0373889,en,Harry Potter and the Order of the Phoenix,2007-06-28
Action,tt0213149,en,Pearl Harbor,2001-05-21
War,tt0213149,en,Pearl Harbor,2001-05-21
History,tt0213149,en,Pearl Harbor,2001-05-21
Romance,tt0213149,en,Pearl Harbor,2001-05-21
Drama,tt0213149,en,Pearl Harbor,2001-05-21
Documentary,tt0030522,de,Olympia - Fest der Völker,1938-04-20
Crime,tt0039689,en,Out of the Past,1947-11-25
Drama,tt0039689,en,Out of the Past,1947-11-25
Romance,tt0039689,en,Out of the Past,1947-11-25
Thriller,tt0039689,en,Out of the Past,1947-11-25
Action,tt0090605,en,Aliens,1986-07-18
Thriller,tt0090605,en,Aliens,1986-07-18
Science Fiction,tt0090605,en,Aliens,1986-07-18
Thriller,tt0110912,en,Pulp Fiction,1994-09-10
Crime,tt0110912,en,Pulp Fiction,1994-09-10
Adventure,tt0066995,en,Diamonds Are Forever,1971-12-14
Action,tt0066995,en,Diamonds Are Forever,1971-12-14
Thriller,tt0066995,en,Diamonds Are Forever,1971-12-14
Adventure,tt0071807,en,The Man with the Golden Gun,1974-12-01
Action,tt0071807,en,The Man with the Golden Gun,1974-12-01
Thriller,tt0071807,en,The Man with the Golden Gun,1974-12-01
Documentary,tt0030523,de,Olympia - Fest der Schönheit,1938-04-20
Drama,tt0118884,en,Contact,1997-07-11
Science Fiction,tt0118884,en,Contact,1997-07-11
Mystery,tt0118884,en,Contact,1997-07-11
Drama,tt0112818,en,Dead Man Walking,1995-12-29
Drama,tt0112579,en,The Bridges of Madison County,1995-05-28
Romance,tt0112579,en,The Bridges of Madison County,1995-05-28
Drama,tt0073800,el,Ο θίασος,1975-07-01
War,tt0073800,el,Ο θίασος,1975-07-01
History,tt0073800,el,Ο θίασος,1975-07-01
Crime,tt0053168,fr,Pickpocket,1959-12-16
Drama,tt0053168,fr,Pickpocket,1959-12-16
Adventure,tt0076752,en,The Spy Who Loved Me,1977-07-07
Action,tt0076752,en,The Spy Who Loved Me,1977-07-07
Thriller,tt0076752,en,The Spy Who Loved Me,1977-07-07
Comedy,tt0069089,en,Pink Flamingos,1972-03-17
Crime,tt0069089,en,Pink Flamingos,1972-03-17
Comedy,tt0290002,en,Meet the Fockers,2004-12-22
Romance,tt0290002,en,Meet the Fockers,2004-12-22
Horror,tt0081505,en,The Shining,1980-05-23
Thriller,tt0081505,en,The Shining,1980-05-23
Comedy,tt0108122,en,Short Cuts,1993-09-05
Drama,tt0108122,en,Short Cuts,1993-09-05
Comedy,tt0079522,en,Manhattan,1979-04-25
Drama,tt0079522,en,Manhattan,1979-04-25
Romance,tt0079522,en,Manhattan,1979-04-25
